State,Order_size
"(7, 31)",3
"(7, 32)",2
"(7, 33)",1
"(7, 34)",0
"(8, 0)",6
"(8, 1)",6
"(8, 2)",6
"(8, 3)",6
"(8, 4)",6
"(8, 5)",6
"(8, 6)",6
"(8, 7)",6
"(8, 8)",6
"(8, 9)",6
"(8, 10)",6
"(8, 11)",6
"(8, 12)",6
"(8, 13)",6
"(8, 14)",6
"(8, 15)",6
"(8, 16)",6
"(8, 17)",6
"(8, 18)",6
"(8, 19)",6
"(8, 20)",6
"(8, 21)",6
"(8, 22)",6
"(8, 23)",6
"(8, 24)",6
"(8, 25)",6
"(8, 26)",6
"(8, 27)",6
"(8, 28)",5
"(8, 29)",4
"(8, 30)",3
"(8, 31)",2
"(8, 32)",1
"(8, 33)",0
"(9, 0)",5
"(9, 1)",5
"(9, 2)",5
"(9, 3)",5
"(9, 4)",5
"(9, 5)",5
"(9, 6)",5
"(9, 7)",5
"(9, 8)",5
"(9, 9)",5
"(9, 10)",5
"(9, 11)",5
"(9, 12)",5
"(9, 13)",5
"(9, 14)",5
"(9, 15)",5
"(9, 16)",5
"(9, 17)",5
"(9, 18)",5
"(9, 19)",5
"(9, 20)",5
"(9, 21)",5
"(9, 22)",5
"(9, 23)",5
"(9, 24)",5
"(9, 25)",5
"(9, 26)",5
"(9, 27)",5
"(9, 28)",4
"(9, 29)",3
"(9, 30)",2
"(9, 31)",1
"(9, 32)",0
"(10, 0)",0
"(10, 1)",0
"(10, 2)",0
"(10, 3)",0
"(10, 4)",0
"(10, 5)",0
"(10, 6)",0
"(10, 7)",0
"(10, 8)",0
"(10, 9)",0
"(10, 10)",0
"(10, 11)",0
"(10, 12)",0
"(10, 13)",0
"(10, 14)",0
"(10, 15)",0
"(10, 16)",0
"(10, 17)",0
"(10, 18)",0
"(10, 19)",0
"(10, 20)",0
"(10, 21)",0
"(10, 22)",0
"(10, 23)",0
"(10, 24)",0
"(10, 25)",0
"(10, 26)",0
"(10, 27)",0
"(10, 28)",0
"(10, 29)",0
"(10, 30)",0
"(10, 31)",0
"(11, 0)",0
"(11, 1)",0
"(11, 2)",0
"(11, 3)",0
"(11, 4)",0
"(11, 5)",0
"(11, 6)",0
"(11, 7)",0
"(11, 8)",0
"(11, 9)",0
"(11, 10)",0
"(11, 11)",0
"(11, 12)",0
"(11, 13)",0
"(11, 14)",0
"(11, 15)",0
"(11, 16)",0
"(11, 17)",0
"(11, 18)",0
"(11, 19)",0
"(11, 20)",0
"(11, 21)",0
"(11, 22)",0
"(11, 23)",0
"(11, 24)",0
"(11, 25)",0
"(11, 26)",0
"(11, 27)",0
"(11, 28)",0
"(11, 29)",0
"(11, 30)",0
"(12, 0)",0
"(12, 1)",0
"(12, 2)",0
"(12, 3)",0
"(12, 4)",0
"(12, 5)",0
"(12, 6)",0
"(12, 7)",0
"(12, 8)",0
"(12, 9)",0
"(12, 10)",0
"(12, 11)",0
"(12, 12)",0
"(12, 13)",0
"(12, 14)",0
"(12, 15)",0
"(12, 16)",0
"(12, 17)",0
"(12, 18)",0
"(12, 19)",0
"(12, 20)",0
"(12, 21)",0
"(12, 22)",0
"(12, 23)",0
"(12, 24)",0
"(12, 25)",0
"(12, 26)",0
"(12, 27)",0
"(12, 28)",0
"(12, 29)",0
"(13, 0)",0
"(13, 1)",0
"(13, 2)",0
"(13, 3)",0
"(13, 4)",0
"(13, 5)",0
"(13, 6)",0
"(13, 7)",0
"(13, 8)",0
"(13, 9)",0
"(13, 10)",0
"(13, 11)",0
"(13, 12)",0
"(13, 13)",0
"(13, 14)",0
"(13, 15)",0
"(13, 16)",0
"(13, 17)",0
"(13, 18)",0
"(13, 19)",0
"(13, 20)",0
"(13, 21)",0
"(13, 22)",0
"(13, 23)",0
"(13, 24)",0
"(13, 25)",0
"(13, 26)",0
"(13, 27)",0
"(13, 28)",0
"(14, 0)",0
"(14, 1)",0
"(14, 2)",0
"(14, 3)",0
"(14, 4)",0
"(14, 5)",0
"(14, 6)",0
"(14, 7)",0
"(14, 8)",0
"(14, 9)",0
"(14, 10)",0
"(14, 11)",0
"(14, 12)",0
"(14, 13)",0
"(14, 14)",0
"(14, 15)",0
"(14, 16)",0
"(14, 17)",0
"(14, 18)",0
"(14, 19)",0
"(14, 20)",0
"(14, 21)",0
"(14, 22)",0
"(14, 23)",0
"(14, 24)",0
"(14, 25)",0
"(14, 26)",0
"(14, 27)",0
"(15, 0)",0
"(15, 1)",0
"(15, 2)",0
"(15, 3)",0
"(15, 4)",0
"(15, 5)",0
"(15, 6)",0
"(15, 7)",0
"(15, 8)",0
"(15, 9)",0
"(15, 10)",0
"(15, 11)",0
"(15, 12)",0
"(15, 13)",0
"(15, 14)",0
"(15, 15)",0
"(15, 16)",0
"(15, 17)",0
"(15, 18)",0
"(15, 19)",0
"(15, 20)",0
"(15, 21)",0
"(15, 22)",0
"(15, 23)",0
"(15, 24)",0
"(15, 25)",0
"(15, 26)",0
"(16, 0)",0
"(16, 1)",0
"(16, 2)",0
"(16, 3)",0
"(16, 4)",0
"(16, 5)",0
"(16, 6)",0
"(16, 7)",0
"(16, 8)",0
"(16, 9)",0
"(16, 10)",0
"(16, 11)",0
"(16, 12)",0
"(16, 13)",0
"(16, 14)",0
"(16, 15)",0
"(16, 16)",0
"(16, 17)",0
"(16, 18)",0
"(16, 19)",0
"(16, 20)",0
"(16, 21)",0
"(16, 22)",0
"(16, 23)",0
"(16, 24)",0
"(16, 25)",0
"(17, 0)",0
"(17, 1)",0
"(17, 2)",0
"(17, 3)",0
"(17, 4)",0
"(17, 5)",0
"(17, 6)",0
"(17, 7)",0
"(17, 8)",0
"(17, 9)",0
"(17, 10)",0
"(17, 11)",0
"(17, 12)",0
"(17, 13)",0
"(17, 14)",0
"(17, 15)",0
"(17, 16)",0
"(17, 17)",0
"(17, 18)",0
"(17, 19)",0
"(17, 20)",0
"(17, 21)",0
"(17, 22)",0
"(17, 23)",0
"(17, 24)",0
"(18, 0)",0
"(18, 1)",0
"(18, 2)",0
"(18, 3)",0
"(18, 4)",0
"(18, 5)",0
"(18, 6)",0
"(18, 7)",0
"(18, 8)",0
"(18, 9)",0
"(18, 10)",0
"(18, 11)",0
"(18, 12)",0
"(18, 13)",0
"(18, 14)",0
"(18, 15)",0
"(18, 16)",0
"(18, 17)",0
"(18, 18)",0
"(18, 19)",0
"(18, 20)",0
"(18, 21)",0
"(18, 22)",0
"(18, 23)",0
"(19, 0)",0
"(19, 1)",0
"(19, 2)",0
"(19, 3)",0
"(19, 4)",0
"(19, 5)",0
"(19, 6)",0
"(19, 7)",0
"(19, 8)",0
"(19, 9)",0
"(19, 10)",0
"(19, 11)",0
"(19, 12)",0
"(19, 13)",0
"(19, 14)",0
"(19, 15)",0
"(19, 16)",0
"(19, 17)",0
"(19, 18)",0
"(19, 19)",0
"(19, 20)",0
"(19, 21)",0
"(19, 22)",0
"(20, 0)",0
"(20, 1)",0
"(20, 2)",0
"(20, 3)",0
"(20, 4)",0
"(20, 5)",0
"(20, 6)",0
"(20, 7)",0
"(20, 8)",0
"(20, 9)",0
"(20, 10)",0
"(20, 11)",0
"(20, 12)",0
"(20, 13)",0
"(20, 14)",0
"(20, 15)",0
"(20, 16)",0
"(20, 17)",0
"(20, 18)",0
"(20, 19)",0
"(20, 20)",0
"(20, 21)",0
"(21, 0)",0
"(21, 1)",0
"(21, 2)",0
"(21, 3)",0
"(21, 4)",0
"(21, 5)",0
"(21, 6)",0
"(21, 7)",0
"(21, 8)",0
"(21, 9)",0
"(21, 10)",0
"(21, 11)",0
"(21, 12)",0
"(21, 13)",0
"(21, 14)",0
"(21, 15)",0
"(21, 16)",0
"(21, 17)",0
"(21, 18)",0
"(21, 19)",0
"(21, 20)",0
"(22, 0)",0
"(22, 1)",0
"(22, 2)",0
"(22, 3)",0
"(22, 4)",0
"(22, 5)",0
"(22, 6)",0
"(22, 7)",0
"(22, 8)",0
"(22, 9)",0
"(22, 10)",0
"(22, 11)",0
"(22, 12)",0
"(22, 13)",0
"(22, 14)",0
"(22, 15)",0
"(22, 16)",0
"(22, 17)",0
"(22, 18)",0
"(22, 19)",0
"(23, 0)",0
"(23, 1)",0
"(23, 2)",0
"(23, 3)",0
"(23, 4)",0
"(23, 5)",0
"(23, 6)",0
"(23, 7)",0
"(23, 8)",0
"(23, 9)",0
"(23, 10)",0
"(23, 11)",0
"(23, 12)",0
"(23, 13)",0
"(23, 14)",0
"(23, 15)",0
"(23, 16)",0
"(23, 17)",0
"(23, 18)",0
"(24, 0)",0
"(24, 1)",0
"(24, 2)",0
"(24, 3)",0
"(24, 4)",0
"(24, 5)",0
"(24, 6)",0
"(24, 7)",0
"(24, 8)",0
"(24, 9)",0
"(24, 10)",0
"(24, 11)",0
"(24, 12)",0
"(24, 13)",0
"(24, 14)",0
"(24, 15)",0
"(24, 16)",0
"(24, 17)",0
"(25, 0)",0
"(25, 1)",0
"(25, 2)",0
"(25, 3)",0
"(25, 4)",0
"(25, 5)",0
"(25, 6)",0
"(25, 7)",0
"(25, 8)",0
"(25, 9)",0
"(25, 10)",0
"(25, 11)",0
"(25, 12)",0
"(25, 13)",0
"(25, 14)",0
"(25, 15)",0
"(25, 16)",0
"(26, 0)",0
"(26, 1)",0
"(26, 2)",0
"(26, 3)",0
"(26, 4)",0
"(26, 5)",0
"(26, 6)",0
"(26, 7)",0
"(26, 8)",0
"(26, 9)",0
"(26, 10)",0
"(26, 11)",0
"(26, 12)",0
"(26, 13)",0
"(26, 14)",0
"(26, 15)",0
"(27, 0)",0
"(27, 1)",0
"(27, 2)",0
"(27, 3)",0
"(27, 4)",0
"(27, 5)",0
"(27, 6)",0
"(27, 7)",0
"(27, 8)",0
"(27, 9)",0
"(27, 10)",0
"(27, 11)",0
"(27, 12)",0
"(27, 13)",0
"(27, 14)",0
"(28, 0)",0
"(28, 1)",0
"(28, 2)",0
"(28, 3)",0
"(28, 4)",0
"(28, 5)",0
"(28, 6)",0
"(28, 7)",0
"(28, 8)",0
"(28, 9)",0
"(28, 10)",0
"(28, 11)",0
"(28, 12)",0
"(28, 13)",0
"(29, 0)",0
"(29, 1)",0
"(29, 2)",0
"(29, 3)",0
"(29, 4)",0
"(29, 5)",0
"(29, 6)",0
"(29, 7)",0
"(29, 8)",0
"(29, 9)",0
"(29, 10)",0
"(29, 11)",0
"(29, 12)",0
"(30, 0)",0
"(30, 1)",0
"(30, 2)",0
"(30, 3)",0
"(30, 4)",0
"(30, 5)",0
"(30, 6)",0
"(30, 7)",0
"(30, 8)",0
"(30, 9)",0
"(30, 10)",0
"(30, 11)",0
"(31, 0)",0
"(31, 1)",0
"(31, 2)",0
"(31, 3)",0
"(31, 4)",0
"(31, 5)",0
"(31, 6)",0
"(31, 7)",0
"(31, 8)",0
"(31, 9)",0
"(31, 10)",0
"(32, 0)",0
"(32, 1)",0
"(32, 2)",0
"(32, 3)",0
"(32, 4)",0
"(32, 5)",0
"(32, 6)",0
"(32, 7)",0
"(32, 8)",0
"(32, 9)",0
"(33, 0)",0
"(33, 1)",0
"(33, 2)",0
"(33, 3)",0
"(33, 4)",0
"(33, 5)",0
"(33, 6)",0
"(33, 7)",0
"(33, 8)",0
"(34, 0)",0
"(34, 1)",0
"(34, 2)",0
"(34, 3)",0
"(34, 4)",0
"(34, 5)",0
"(34, 6)",0
"(34, 7)",0
"(35, 0)",0
"(35, 1)",0
"(35, 2)",0
"(35, 3)",0
"(35, 4)",0
"(35, 5)",0
"(35, 6)",0
"(36, 0)",0
"(36, 1)",0
"(36, 2)",0
"(36, 3)",0
"(36, 4)",0
"(36, 5)",0
"(37, 0)",0
"(37, 1)",0
"(37, 2)",0
"(37, 3)",0
"(37, 4)",0
"(38, 0)",0
"(38, 1)",0
"(38, 2)",0
"(38, 3)",0
"(39, 0)",0
"(39, 1)",0
"(39, 2)",0
"(40, 0)",0
"(40, 1)",0
"(41, 0)",0
